"","REGIÓN","2010.0","2011.0","2012.0","2013.0","2014.0","2015.0","2016.0","2017.0","2018.0","2019.0","2020.0"
"1","Amazonas",8.1,8.2,8.3,8.3,8.4,8.5,8.5,8.7,8.8,9,8.9
"2","Áncash",9.4,9.5,9.7,9.5,9.5,9.4,9.6,9.5,9.7,9.8,9.7
"3","Apurímac",8.7,8.7,9,9.2,9.1,9.4,9.2,9.2,9.1,9.7,9.7
"4","Arequipa",10.9,10.6,10.7,10.8,10.7,10.9,10.9,10.9,11,11.1,11.1
"5","Ayacucho",9,9,9.1,9.1,8.9,9,9.1,9.2,9.3,9.3,9.4
"6","Cajamarca",8.1,8.2,8.3,8.3,8.3,8.2,8.2,8.2,8.3,8.6,8.8
"7","Prov. Const. del Callao",10.8,10.6,10.8,10.8,10.8,10.8,11.1,11,11,11.2,11
"8","Cusco",9.3,9.7,9.8,9.7,9.5,9.5,9.7,9.6,9.7,9.7,9.7
"9","Huancavelica",8.2,8.4,8.3,8.5,8.3,8.7,8.9,8.7,8.8,8.9,9.4
"10","Huánuco",8.2,8.4,8.6,8.7,8.4,8.5,8.5,8.6,8.7,8.8,8.8
"11","Ica",10.5,10.7,10.8,10.8,10.9,10.9,11,11,11.2,11.2,10.9
"12","Junín",9.7,9.9,9.9,10,10,9.9,9.8,9.8,9.8,10,10.1
"13","La Libertad",9.6,9.4,9.6,9.6,9.7,9.7,9.7,9.7,9.9,9.9,10
"14","Lambayeque",9.6,9.5,9.7,9.7,9.9,10,10.1,10,10.2,10.2,10.3
"15","Lima Metropolitana 1/",11,11.1,10.1,11.2,11.2,11.3,11.3,11.4,11.4,11.4,11.3
"16","Departamento de Lima 2/",9.8,10,10.1,10,10,10,10,9.9,10,10,10.2
"17","Loreto",8.9,8.8,9.1,9,9.1,9,8.9,9.1,9.1,9.1,9.4
"18","Madre de Dios",9.9,9.8,10,9.9,9.9,9.8,9.9,9.9,10.3,10.3,10.3
"19","Moquegua",10.5,10.4,10.7,10.6,10.7,10.5,10.7,10.8,10.8,11,11.1
"20","Pasco",9.6,9.7,9.9,9.9,9.6,9.8,9.8,9.9,10,10,10.2
"21","Piura",9.1,9.3,9.3,9.3,9.2,9.1,9.2,9.4,9.4,9.5,9.4
"22","Puno",9.4,9.6,9.6,9.7,9.7,9.7,9.6,9.8,9.9,9.9,10
"23","San Martín",8.9,8.7,8.9,8.7,8.5,8.5,8.6,8.7,8.8,9,8.6
"24","Tacna",10.7,10.4,10.8,10.7,10.5,10.6,10.9,10.7,10.9,11,11.1
"25","Tumbes",9.8,9.9,10,9.7,9.9,9.9,9.9,10,10,10,9.8
"26","Ucayali",9.2,9.3,9.4,9.3,9.2,9.4,9.5,9.4,9.7,9.5,9.6
