"","SECTOR","2007.0","2008.0","2009.0","2010.0","2011.0","2012.0","2013.0","2014.0","2015.0","2016.0","2017.0","2018.0","2019.0","2020.0","2021.0"
"1","Agricultura, Ganadería, Caza y Silvicultura",19074328,20600110,20783970,21655968,22516613,23943890,24216000,24540000,25294000,25963000,26624000,28643000,29474000,29723000,30840000
"2","Pesca y Acuicultura",2364000,2435000,2321000,1675000,2709000,1729000,2126000,1515000,1791000,1593000,1750000,2464000,2099000,2164000,2225000
"3","Extracción de Petróleo, Gas y Minerales",45892248,49601414,49910046,50600520,50750163,51662027,54304147,53454046,57947964,65095040,67438607,66428606,66272062,57303596,61515992
"4","Manufactura",52806722,57303650,53599979,59024010,63942590,64757811,68154934,67404986,66824103,66783228,67154000,71047373,70208000,60854600,71636000
"5","Electricidad, Gas y Agua",5505000,5948000,6008000,6531000,7066000,7481000,7734000,8133000,8666000,9344000,9432000,9862220,10291950,9625000,10446527
"6","Construcción",16317000,19071000,20319000,23765000,24626000,28539000,31228000,31789000,30083000,29290000,30002000,31626000,32089000,27313370,37002000
"7","Comercio",32537000,36029000,35735000,39981000,43434450,47105000,49408000,50364000,51919000,53369000,54070000,55441900,56801500,49240880,58110000
"8","Transporte, Almacen., Correo y Mensajería",15884989,17316536,17152750,19419096,21631466,23151964,24687000,25292000,26371000,27454000,28554000,30128000,30876000,22406000,26425000
"9","Alojamiento y Restaurantes",9143000,10086000,10148000,10895000,12103000,13413000,14323000,15066000,15562000,15988000,16194000,16831000,17569000,8704000,12476000
"10","Telecom. y Otros Serv. de Información",8517000,9974000,10784000,11876000,13243000,14855000,16149000,17542000,19133000,20812000,22523000,23686000,25340000,26413000,28408000
"11","Administración Pública y Defensa",13723000,14785000,17472000,18886000,19691000,21288000,22110000,23302000,24160000,25194000,26027000,27191000,28090000,29268000,30487000
"12","Otros Servicios",71425535,75641146,78289907,83105478,88217525,93507262,99093702,104791956,110438125,114837231,117990107,123008000,128071327,120021067,130374117
